Age,M,F
0-4,16300863,15434174
5-9,16783022,15894952
10-14,16771767,15881239
15-19,16789248,15910649
20-24,17204103,16427350
25-29,18060546,17415404
30-34,20233067,19625011
35-39,21901724,21310133
40-44,21515877,21068110
45-49,20398381,19988697
50-54,20782807,20388016
55-59,22335657,22532404
60-64,23810220,25182002
65-69,22194098,24674458
70-74,19882013,23247328
75-79,17416768,21586451
80-84,14199643,18853985
85-89,9649155,14487562
90-94,4456261,7968077
95-99,1194079,2626266
100+,165298,460611
